#t  pH Em volume surface deltaOsm H+ HO- Na+ Cl- K+ HCO3- CO3-- HY Y- OSM
0  7.2 -60 1308.99693899575 652.926841418496 0 6.30957344480193e-08 1.58489319246111e-07 0.01 0.02 0.14 0.0126215120285831 1.12020991558938e-05 0.00545454545454546 0.0545454545454545 0.0573670642872073
1 7.2 -60.00029040507 1308.99693899575 652.926841418496 -1.33116295764069e-11 6.30957344480193e-08 1.58489319246111e-07 0.00999999999403548 0.0200000000008508 0.139999999991802 0.0126215120285831 1.12020991558938e-05 0.00545454545454546 0.0545454545454545 0.0573670642872073
2 7.2 -60.0001095030794 1308.99693899575 652.926841418496 -5.02137220692589e-12 6.30957344480193e-08 1.58489319246111e-07 0.00999999999777309 0.0200000000003199 0.139999999996886 0.0126215120285831 1.12020991558938e-05 0.00545454545454546 0.0545454545454545 0.0573670642872073
3 7.2 -60.0001224199884 1308.99693899575 652.926841418496 -5.61456436898311e-12 6.30957344480193e-08 1.58489319246111e-07 0.00999999999752049 0.0200000000003572 0.139999999996508 0.0126215120285831 1.12020991558938e-05 0.00545454545454546 0.0545454545454545 0.0573670642872073
4 7.2 -60.0001196652172 1308.99693899575 652.926841418496 -5.48933121180539e-12 6.30957344480193e-08 1.58489319246111e-07 0.00999999999759027 0.0200000000003486 0.139999999996572 0.0126215120285831 1.12020991558938e-05 0.00545454545454546 0.0545454545454545 0.0573670642872073
5 7.2 -60.0001202072873 1308.99693899575 652.926841418496 -5.51531043058162e-12 6.30957344480193e-08 1.58489319246111e-07 0.00999999999759197 0.0200000000003496 0.139999999996543 0.0126215120285831 1.12020991558938e-05 0.00545454545454546 0.0545454545454545 0.0573670642872073
6 7.19999317012823 -60.0001201472492 1308.99693899575 652.926841418496 7.7744233717425e-08 6.30967267221152e-08 1.58486826805471e-07 0.0100000001336578 0.0200000000188125 0.139999999997055 0.012621590345953 1.12019924977445e-05 0.00545462343700221 0.0545453765629978 0.0573670642872073
7 7.1999726961126 -60.0001205103855 1308.99693899575 652.926841418496 3.11910764994039e-07 6.30997013715154e-08 1.58479355411248e-07 0.0100000010812662 0.0200000001480016 0.140000000004859 0.0126218255965154 1.12016731940341e-05 0.00545485721226989 0.0545451427877301 0.0573670642872073
8 7.19993860727128 -60.000121430403 1308.99693899575 652.926841418496 7.03811563307344e-07 6.31046544165518e-08 1.58466916465311e-07 0.0100000036388178 0.0200000004984595 0.140000000038585 0.0126222181677718 1.12011423551956e-05 0.00545524646358918 0.0545447535364108 0.0573670642872073
9 7.19989094079526 -60.0001232250532 1308.99693899575 652.926841418496 1.2546821901438e-06 6.31115809184984e-08 1.58449524706312e-07 0.0100000085902514 0.0200000011804772 0.140000000129009 0.0126227683668714 1.12004012299684e-05 0.00545579079618747 0.0545442092038125 0.0573670642872073
10 7.1998297417186 -60.0001261706955 1308.99693899575 652.926841418496 1.96567577376294e-06 6.312047498183e-08 1.58427198193274e-07 0.0100000167049237 0.0200000023040367 0.140000000318818 0.0126234764205144 1.11994512042614e-05 0.005456489737484 0.054543510262516 0.0573670642872073
11 7.19975506288098 -60.0001305472781 1308.99693899575 652.926841418496 2.83786254379192e-06 6.31313297570989e-08 1.58399958284983e-07 0.0100000287374871 0.0200000039787531 0.140000000662372 0.0126243424749109 1.11982937998469e-05 0.00545734273735023 0.0545426572626498 0.0573670642872073
12 7.19966696488258 -60.0001366292594 1308.99693899575 652.926841418496 3.8722294206095e-06 6.3144137444431e-08 1.58367829615225e-07 0.01000004542777 0.0200000063138176 0.140000001225459 0.0126253665957961 1.11969306728877e-05 0.00545834916842504 0.054541650831575 0.0573670642872073
13 7.19956551603153 -60.0001446873353 1308.99693899575 652.926841418496 5.06967966518168e-06 6.31588892976361e-08 1.58330840063938e-07 0.0100000675006611 0.0200000094179408 0.140000002085059 0.0126265487685022 1.11953636123013e-05 0.00545950832648457 0.0545404916735155 0.0573670642872073
14 7.19945079228373 -60.0001549880093 1308.99693899575 652.926841418496 6.43103258118893e-06 6.31755756289299e-08 1.58289020724343e-07 0.0100000956659957 0.0200000133992956 0.140000003329092 0.0126278888980846 1.11935945379642e-05 0.0054608194308662 0.0545391805691339 0.0573670642872073
15 7.19932287717549 -60.0001677935979 1308.99693899575 652.926841418496 7.95702327571757e-06 6.3194185814264e-08 1.58242405866124e-07 0.0100001306184452 0.0200000183654611 0.140000005056183 0.0126293868095045 1.11916254987594e-05 0.00546228162494641 0.0545377183750536 0.0573670642872073
16 7.19918186174887 -60.0001833621444 1308.99693899575 652.926841418496 9.64830247451864e-06 6.32147082992576e-08 1.58191032894752e-07 0.0100001730374104 0.0200000244233666 0.140000007375403 0.0126310422478666 1.11894586704727e-05 0.00546389397667168 0.0545361060233283 0.0573670642872073
