#t  pH Em volume surface deltaOsm H+ HO- Na+ Cl- K+ HCO3- CO3-- HY Y- OSM
46 7.18565538153148 -60.0043870686425 1308.99693899575 652.926841418496 2.43980857687065e-05 6.52145675097272e-08 1.53339972675713e-07 0.0100107183640984 0.0200000553448637 0.140001772187385 0.012634660066084 1.08494312040813e-05 0 0 0.117367064287207
47 7.18501644777442 -60.0046861613499 1308.99693899575 652.926841418496 2.61829924341206e-05 6.53105817494195e-08 1.53114544873716e-07 0.0100114539528818 0.0200000606930904 0.140001942316614 0.0126355910760817 1.0834279550218e-05 0 0 0.117367064287207
48 7.18436824292385 -60.0049977179067 1308.99693899575 652.926841418496 2.80487480841529e-05 6.54081336331897e-08 1.52886184707245e-07 0.0100122187223718 0.0200000664149206 0.140002123900606 0.0126365627032255 1.08189528132561e-05 0 0 0.117367064287207
49 7.18371113781172 -60.0053218731836 1308.99693899575 652.926841418496 2.99966713037669e-05 6.55071736911141e-08 1.52655036640002e-07 0.0100130128836046 0.0200000725266578 0.140002317380562 0.0126375755621727 1.08034615387119e-05 0 0 0.117367064287207
50 7.18304550621614 -60.0056587537349 1308.99693899575 652.926841418496 3.2028040562071e-05 6.56076517734175e-08 1.52421245536054e-07 0.0100138366249773 0.0200000790448698 0.140002523200208 0.0126386302471829 1.07878162792135e-05 0 0 0.117367064287207
51 7.18237172460431 -60.0060084777657 1308.99693899575 652.926841418496 3.41440935715531e-05 6.57095170740685e-08 1.52184956537238e-07 0.0100146901122924 0.020000085986381 0.14000274180543 0.012639727331829 1.07720275859669e-05 0 0 0.117367064287207
52 7.18169017187676 -60.0063711551085 1308.99693899575 652.926841418496 3.63460266591398e-05 6.58127181547778e-08 1.51946314942988e-07 0.010015573488808 0.020000093368265 0.140002973643921 0.0126408673687148 1.0756106000412e-05 0 0 0.117367064287207
53 7.18100122911335 -60.0067468871953 1308.99693899575 652.926841418496 3.86349941561837e-05 6.59172029693819e-08 1.51705466092743e-07 0.0100164868752947 0.0200001012078362 0.140003219164823 0.0126420508891997 1.07400620460796e-05 0 0 0.117367064287207
54 7.1803052793212 -60.0071357670401 1308.99693899575 652.926841418496 4.10121078011638e-05 6.6022918888603e-08 1.51462555251041e-07 0.0100174303700987 0.0200001095226418 0.140003478818375 0.0126432784031312 1.07239062206559e-05 0 0 0.117367064287207
55 7.17960270718476 -60.0075378792158 1308.99693899575 652.926841418496 4.34784361600382e-05 6.61298127251652e-08 1.51217727495463e-07 0.0100184040492109 0.0200001183304536 0.140003753055554 0.0126445503985853 1.07076489882651e-05 0 0 0.117367064287207
56 7.17889389881844 -60.0079532998425 1308.99693899575 652.926841418496 4.60350040639712e-05 6.62378307592577e-08 1.50971127607502e-07 0.0100194079663436 0.0200001276492598 0.14000404232773 0.0126458673416145 1.06913007719751e-05 0 0 0.117367064287207
57 7.17817924152183 -60.0083820965758 1308.99693899575 652.926841418496 4.86827920616606e-05 6.63469187643254e-08 1.50722899966486e-07 0.0100204421530136 0.0200001374972556 0.140004347086312 0.0126472296760039 1.06748719465333e-05 0 0 0.117367064287207
58 7.17745912353785 -60.0088243285936 1308.99693899575 652.926841418496 5.1422735893758e-05 6.6457022033173e-08 1.50473188446638e-07 0.0100215066186312 0.0200001478928356 0.140004667782399 0.0126486378230365 1.06583728313386e-05 0 0 0.117367064287207
59 7.17673393381407 -60.0092800465945 1308.99693899575 652.926841418496 5.4255725980612e-05 6.65680854043678e-08 1.50222136317351e-07 0.0100226013505981 0.0200001588545839 0.14000500486644 0.0126500921812659 1.06418136836546e-05 0 0 0.117367064287207
60 7.17600406176731 -60.0097492927932 1308.99693899575 652.926841418496 5.71826069329928e-05 6.66800532889228e-08 1.49969886146765e-07 0.0100237263144107 0.0200001704012657 0.140005358787883 0.0126515931262993 1.06252046920673e-05 0 0 0.117367064287207
61 7.17526989705173 -60.0102321009226 1308.99693899575 652.926841418496 6.02041770795259e-05 6.67928696972454e-08 1.49716579708693e-07 0.0100248814537715 0.020000182551818 0.140005729994837 0.0126531410105881 1.06085559701915e-05 0 0 0.117367064287207
62 7.17453182933071 -60.0107284962376 1308.99693899575 652.926841418496 6.33211880142759e-05 6.69064782663333e-08 1.49462357892956e-07 0.010026066690708 0.0200001953253401 0.140006118933732 0.0126547361632293 1.05918775506293e-05 0 0 0.117367064287207
